,name,ticker,exchange,sector,industry,long_business_summary,country,website,price,marketcap,dividends,ex_dividend_date,fiftytwo_week_high,fiftytwo_week_low,fifty_day_avgerage,recommendation,total_cash_per_share,profit_margins,volume,dividend_yield,yahoo_ticker
10,ABB Ltd,ABB,NYQ,Industrials,Electrical Equipment & Parts,"ABB Ltd manufactures and sells electrification, industrial automation, and robotics and motion products for customers in utilities, industry and transport, and infrastructure worldwide. Its Electrification segment provides electric vehicle charging infrastructure, renewable power solutions, modular substation packages, distribution automation products, switchboard and panel boards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions for integrating and automating lighting, heating, ventilation, security, and data communication networks. The company's Robotics & Discrete Automation segments provides industrial robots, software, robotic solutions and systems, field services, spare parts, and digital services. This segment also offers solutions based on its programmable logic controllers, industrial PCs, servo motion, transport systems, and machine vision. Its Industrial Automation segment develops and sells industry-specific, integrated automation, and electrification systems and solutions, as well as digital solutions, lifecycle services, and artificial intelligence applications for the process and hybrid industries. This segment also offers process and discrete control technologies, advanced process control software and manufacturing execution systems, sensing, measurement, analytical instrumentation, electric ship propulsion systems, and large turbochargers, as well as remote monitoring, preventive maintenance, asset performance management, and cybersecurity services. The company's Motion segment manufactures and sells drives, motors, generators, traction converters, and mechanical power transmission products. ABB Ltd has a strategic collaboration with IBM. ABB Ltd was founded in 1883 and is headquartered in Zurich, Switzerland.",Switzerland,https://www.global.abb/group/,34.33,68419690496.0,0.87,2021-03-29 02:00:00,39.11,30.07,35.0038,buy,2.245,0.06397,2171196.0,0.025342266239440723,ABB
11,AbbVie Inc.,ABBV,NYQ,Healthcare,Drug Manufacturers—General,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",United States,https://www.abbvie.com,154.58,273278877696.0,5.64,2022-01-13 01:00:00,156.82,102.05,141.6446,buy,6.929,0.20538001,3650089.0,0.03648596196144391,ABBV
12,AmerisourceBergen Corporation,ABC,NYQ,Healthcare,Medical Distribution,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in the companion animal and production animal markets, as well as demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was incorporated in 2001 and is headquartered in Conshohocken, Pennsylvania.",United States,https://www.amerisourcebergen.com,149.8,31178321920.0,1.84,2021-11-12 01:00:00,153.0548,111.34,138.708,buy,12.238,0.0072000003,416644.0,0.012283044058744993,ABC
13,Ambev S.A.,ABEV,NYQ,Consumer Defensive,Beverages—Brewers,"Ambev S.A., through its subsidiaries, produces, distributes, and sells beer, draft beer, carbonated soft drinks (CSD), other non-alcoholic beverages, malt, and food products in the Americas. It operates through three segments: Brazil; Central America and the Caribbean; Latin America South; and Canada. The company offers beer primarily under the Skol, Brahma, Antarctica, Brahva, Brahva Gold, Extra, Budweiser, Bud Light, Stella Artois, Corona, Modelo Especial, Beck, Leffe, Hoegaarden, Bucanero, Cristal, Mayabe, Cacique, Presidente, Brahma Light, President Light, Bohemia, The One, Banks, Deputy, Quilmes ClÃ¡sica, PaceÃ±a, TaquiÃ±a, Huari, Becker, CusqueÃ±a, Pilsen, Ouro Fino, Patricia, Michelob Ultra, Busch, Labatt Blue, Alexander Keith's, and Kokanee brands. It also provides bottled water, isotonic beverages, energy drinks, coconut water, powdered and natural juices, and ready-to-drink teas under the GuaranÃ¡ Antarctica, Natu, Gatorade, H2OH!, Lipton Iced Tea, Fusion, Do Bem, Pepsi, Canada Dry, Squirt, Red Rock, Pepsi-Cola, Seven Up, Nutrl, and Palm Bay and Mike's brands, as well as For Me wellness shots, a functional beverage. Ambev S.A. offers its products through a network of third-party distributors and a direct distribution system. The company was founded in 1885 and is headquartered in SÃ£o Paulo, Brazil. Ambev S.A. is a subsidiary of Interbrew International B.V.",Brazil,https://www.ambev.com.br,2.675,42099953664.0,0.11,2021-12-20 01:00:00,3.95,2.5,2.7536,hold,1.178,0.17392,11549638.0,0.041121495327102804,ABEV
14,Asbury Automotive Group Inc,ABG,NYQ,Consumer Cyclical,Auto & Truck Dealerships,"Asbury Automotive Group, Inc., together with its subsidiaries, operates as an automotive retailer in the United States. It offers a range of automotive products and services, including new and used vehicles; and vehicle repair and maintenance services, replacement parts, and collision repair services. The company also provides finance and insurance products, including arranging vehicle financing through third parties; and aftermarket products, such as extended service contracts, guaranteed asset protection debt cancellation, prepaid maintenance, and credit life and disability insurance. As of December 31, 2020, the company owned and operated 112 new vehicle franchises representing 31 brands of automobiles at 91 dealership locations; and 25 collision centers in the United States. Asbury Automotive Group, Inc. was founded in 1996 and is headquartered in Duluth, Georgia.",United States,https://www.asburyauto.com,193.685,4481037824.0,0.0,2008-07-30 02:00:00,230.97,146.43,174.1708,buy,17.093,0.05108,104981.0,0.0,ABG
15,ABM Industries Incorporated,ABM,NYQ,Industrials,Specialty Business Services,"ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company operates through Business & Industry, Technology & Manufacturing, Education, Aviation, and Technical Solutions segments. It provides janitorial, facilities engineering, parking, custodial, landscaping and ground, and mechanical and electrical services; and vehicle maintenance and other services to rental car providers. The company was incorporated in 1985 and is based in New York, New York.",United States,https://www.abm.com,45.46,3060276224.0,0.78,2022-01-05 01:00:00,54.46,38.44,43.0922,buy,0.933,0.020280002,160977.0,0.01715794104707435,ABM
16,Arbor Realty Trust,ABR,NYQ,Real Estate,REIT—Mortgage,"Arbor Realty Trust, Inc. invests in a diversified portfolio of structured finance assets in the multifamily, single-family rental, and commercial real estate markets in the United States. The company operates in two segments, Structured Business and Agency Business. It primarily invests in real estate-related bridge and mezzanine loans, including junior participating interests in first mortgages, and preferred and direct equity, as well as real estate-related joint ventures, real estate-related notes, and various mortgage-related securities. The company offers bridge financing products to borrowers who seek short-term capital to be used in an acquisition of property; financing by making preferred equity investments in entities that directly or indirectly own real property; mezzanine financing in the form of loans that are subordinate to a conventional first mortgage loan and senior to the borrower's equity in a transaction; junior participation financing in the form of a junior participating interest in the senior debt; and financing products to borrowers who are looking to acquire conventional, workforce, and affordable single-family housing. In addition, it underwrites, originates, sells, and services multifamily mortgage loans through conduit/commercial mortgage-backed securities programs.   The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was incorporated in 2003 and is headquartered in Uniondale, New York.",United States,https://www.arbor.com,17.47,2629339648.0,1.44,2021-11-12 01:00:00,20.74,15.0,17.6382,buy,2.678,0.50391996,920382.0,0.0824270177447052,ABR
17,Abbott Laboratories,ABT,NYQ,Healthcare,Medical Devices,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. It has collaboration agreement with Cereno Scientific AB (publ). The company was founded in 1888 and is based in North Chicago, Illinois.",United States,https://www.abbott.com,118.19,208994205696.0,1.88,2022-01-13 01:00:00,142.6,105.36,124.9368,buy,5.481,0.17122,2069622.0,0.01590659108215585,ABT
18,"Associated Capital Group, Inc.",AC,NYQ,Financial Services,Capital Markets,"Associated Capital Group, Inc. provides investment advisory services in the United States. The company offers alternative investment management and asset management services. It also invests in new and existing businesses. The company was founded in 1976 and is headquartered in Greenwich, Connecticut.",United States,https://www.associated-capital-group.com,41.2,908793728.0,0.2,2021-11-30 01:00:00,47.5,32.4,41.5502,none,28.097,5.32839,13610.0,0.0048543689320388345,AC
19,"Arcosa, Inc.",ACA,NYQ,Industrials,Infrastructure Operations,"Arcosa, Inc., together with its subsidiaries, provides infrastructure-related products and solutions for the construction, energy, and transportation markets in North America. It operates through three segments: Construction Products, Engineered Structures, and Transportation Products. The Construction Products segment offers natural and recycled aggregates; specialty materials; and trench shields and shoring products for residential and non-residential construction, agriculture, specialty building products, as well as for infrastructure related projects. The Engineered Structures segment provides utility structures, wind towers, traffic and lighting structures, telecommunication structures, storage and distribution tanks for electricity transmission and distribution, wind power generation, highway road construction, and wireless communication markets, as well as for gas and liquids storage and transportation for residential, commercial, energy, agriculture, and industrial markets. The Transportation Products segment offers inland barges; fiberglass barge covers, winches, and other components; cast components for industrial and mining sectors; and axles, circular forgings, coupling devices for freight, tank, locomotive, and passenger rail transportation equipment, as well as other industrial uses. Arcosa, Inc. was incorporated in 2018 and is headquartered in Dallas, Texas.",United States,https://www.arcosa.com,58.25,2815205120.0,0.2,2022-01-13 01:00:00,66.18,43.42,50.0398,buy,1.509,0.03418,171156.0,0.0034334763948497857,ACA
20,Athena Consumer Acquisition Cor,ACAQ,NYQ,Financial Services,Shell Companies,"Athena Consumer Acquisition Corp. focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses. It intends to identify business opportunities in the field of consumer goods and/or services. The company was incorporated in 2021 and is based in New York, New York.",United States,nan,9.96,223353008.0,0.0,nan,10.26,9.85,9.9318,none,0.0,0.0,3244.0,0.0,ACAQ
21,American Campus Communities Inc,ACC,NYQ,Real Estate,REIT—Residential,"American Campus Communities, Inc. is the largest owner, manager and developer of high-quality student housing communities in the United States. The company is a fully integrated, self-managed and self-administered equity real estate investment trust (REIT) with expertise in the design, finance, development, construction management and operational management of student housing properties. As of September 30, 2020, American Campus Communities owned 166 student housing properties containing approximately 111,900 beds. Including its owned and third-party managed properties, ACC's total managed portfolio consisted of 204 properties with approximately 139,900 beds.",United States,https://www.americancampus.com,54.53,7588230656.0,1.88,2022-02-03 01:00:00,57.83,41.64,53.0788,buy,0.304,0.02168,386143.0,0.034476434989913804,ACC
22,Acco Brands Corporation,ACCO,NYQ,Industrials,Business Equipment & Supplies,"ACCO Brands Corporation designs, manufactures, and markets consumer, school, technology, and office products. It operates through three segments: ACCO Brands North America, ACCO Brands EMEA, and ACCO Brands International. The company provides computer and gaming accessories, calendars, planners, dry erase boards, school notebooks, and janitorial supplies; storage and organization products, such as three-ring and lever-arch binders, sheet protectors, and indexes; laminating, binding, and shredding machines; writing instruments and art products; stapling and punching products; and do-it-yourself tools. It offers its products under the AT-A-GLANCE, Barrilito, Derwent, Esselte, Five Star, Foroni, GBC, Hilroy, Kensington, Leitz, Marbig, Mead, NOBO, PowerA, Quartet, Rapid, Rexel, Swingline, Tilibra, TruSens, Spirax, and Wilson Jones brand names. The company markets and sells its products through various channels, including mass retailers; e-tailers; discount, drug/grocery, and variety chains; warehouse clubs; hardware and specialty stores; independent office product dealers; office superstores; wholesalers; contract stationers; and technology specialty businesses, as well as sells products directly to commercial and consumer end-users through its e-commerce platform and direct sales organization. ACCO Brands Corporation was founded in 1893 and is headquartered in Lake Zurich, Illinois.",United States,https://www.accobrands.com,8.435,807490176.0,0.3,2021-11-23 01:00:00,9.77,7.58,8.307,buy,0.607,0.04083,396747.0,0.03556609365737996,ACCO
23,Ascendant Digital Acquisition C,ACDI,NYQ,Financial Services,Shell Companies,"Ascendant Digital Acquisition Corp. III does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses in the interactive entertainment, film/television, music, print and digital books, e-sports, live events, and other forms of consumer entertainment, and enabling services and technologies. The company was incorporated in 2021 and is based in New York, New York.",United States,https://www.ascendant.digital,9.97,373875008.0,0.0,nan,10.4,9.8,9.9313,none,0.133,0.0,23400.0,0.0,ACDI
24,"Accel Entertainment, Inc.",ACEL,NYQ,Consumer Cyclical,Gambling,"Accel Entertainment, Inc., together with its subsidiaries, operates as a distributed gaming operator in the United States. It is involved in the installation, maintenance, and operation of video game terminals; redemption devices that disburse winnings and contain automated teller machine (ATM) functionality; and other amusement devices in authorized non-casino locations, such as restaurants, bars, taverns, convenience stores, liquor stores, truck stops, and grocery stores. The company also provides licensed establishment partners with gaming solutions that appeal to players who patronize those businesses. In addition, it operates stand-alone ATMs in gaming and non-gaming locations, as well as amusement devices, including jukeboxes, dartboards, pool tables, pinball machines, and other related entertainment equipment. As of December 31, 2020, the company operated 12,247 video gaming terminals across 2,435 locations in Illinois. Accel Entertainment, Inc. is headquartered in Burr Ridge, Illinois.",United States,https://www.accelentertainment.com,13.13,1235102336.0,0.0,nan,14.095,10.05,12.9322,buy,1.912,0.02632,86158.0,0.0,ACEL
25,Aluminum Corporation of China L,ACH,NYQ,Basic Materials,Aluminum,"Aluminum Corporation of China Limited, together with its subsidiaries, manufactures and sells alumina, primary aluminum, and energy products in the People's Republic of China. The company operates through Alumina, Primary Aluminum, Trading, and Energy segments. The Alumina segment mines for and purchases bauxite and other raw materials; and produces and sells alumina, as well as refined alumina. The Primary Aluminum segment procures alumina and other raw materials, supplemental materials, and electrical power; and produces and sells aluminum and aluminum-related products, such as carbon, aluminum alloy, and other electrolytic aluminum products. The Trading segment trades in alumina, primary aluminum, aluminum fabrication products, other non-ferrous metal products, coal products, raw and supplemental materials; and provides logistics and transport services to external customers. The Energy segment engages in coal mining; and generates and sells electricity using thermal power, wind power, and solar power sources to regional power grid corporations, as well as manufactures power related equipment. The company also acquires, manufactures, and distributes bauxite mines and limestone ore; and provides engineering project management, and research and development services. Aluminum Corporation of China Limited was incorporated in 2001 and is headquartered in Beijing, the People's Republic of China.",China,https://www.chalco.com.cn,13.7101,14650888192.0,0.0,2011-04-26 02:00:00,23.9,9.99,15.2584,none,27.277,0.02252,142264.0,0.0,ACH
26,Archer Aviation Inc.,ACHR,NYQ,Industrials,Aerospace & Defense,"Archer Aviation Inc., an urban air mobility company, engages in designs, manufactures, and operates electric vertical takeoff and landing aircrafts to carry passengers. The company was incorporated in 2018 and is headquartered in Palo Alto, California.",United States,https://www.archer.com,3.765,893551296.0,0.0,nan,10.83,2.61,3.4384,buy,3.355,0.0,1974184.0,0.0,ACHR
27,"Albertsons Companies, Inc.",ACI,NYQ,Consumer Defensive,Grocery Stores,"Albertsons Companies, Inc., through its subsidiaries, engages in the operation of food and drug stores in the United States. The company's food and drug retail stores offer grocery products, general merchandise, health and beauty care products, pharmacy, fuel, and other items and services. As of February 27, 2021, it operated 2,277 stores under various banners, including Albertsons, Safeway, Vons, Pavilions, Randalls, Tom Thumb, Carrs, Jewel-Osco, Acme, Shaw's, Star Market, United Supermarkets, Market Street, Haggen, Kings Food Markets, and Balducci's Food Lovers Market; and 1,727 pharmacies, 1,313 in-store branded coffee shops, 400 adjacent fuel centers, 22 distribution centers, and 20 manufacturing facilities, as well as various digital platforms. The company was founded in 1860 and is headquartered in Boise, Idaho. Albertsons Companies, Inc. is a subsidiary of Albertsons Investor Holdings LLC.",United States,https://www.albertsonscompanies.com,35.1799,16433411072.0,0.48,2022-01-25 01:00:00,37.99,17.73,30.2188,buy,5.533,0.014520001,871350.0,0.01364415475882535,ACI
28,Atlas Crest Investment Corp. II,ACII,NYQ,Financial Services,Shell Companies,"Atlas Crest Investment Corp. II does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses. The company was incorporated in 2020 and is based in New York, New York.",United States,https://acii.atlascrestcorp.com,9.755,420684384.0,0.0,nan,10.37,9.46,9.739,none,0.006,0.0,300786.0,0.0,ACII
29,AECOM,ACM,NYQ,Industrials,Engineering & Construction,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services for governments, businesses, and organizations in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It also invests in and develops real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered Dallas, Texas.",United States,https://www.aecom.com,76.22,10838636544.0,0.6,2022-01-04 01:00:00,78.62,58.36,72.293,buy,8.644,0.01298,364492.0,0.007871949619522435,ACM
